FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Housing Units:,Housing Units: Occupied,Housing Units: Vacant,Vacant Housing Units:,Vacant Housing Units: for Rent,Vacant Housing Units: for Sale Only,Vacant Housing Units: Other Vacant,Occupied Housing Units,Occupied Housing Units: Built 2014 or Later,Occupied Housing Units: Built 2010 to 2013,Occupied Housing Units: Built 2000 to 2009,Occupied Housing Units: Built 1990 to 1999,Occupied Housing Units: Built 1980 to 1989,Occupied Housing Units: Built 1970 to 1979,Occupied Housing Units: Built 1960 to 1969,Occupied Housing Units: Built 1950 to 1959,Occupied Housing Units: Built 1940 to 1949,Occupied Housing Units: Built 1939 or Earlier,Median Gross Rent
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,SE_A18009_001
4.2101E+11,"Block Group 4, Census Tract 85, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 85, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16713,,,,,42,101,,,,8500,4,15000US421010085004,,,61356,0,397,305,92,92,0,0,92,305,0,0,0,0,24,0,0,43,93,145,973
4.2101E+11,"Block Group 5, Census Tract 85, Philadelphia County, Pennsylvania","Block Group 5, Census Tract 85, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16714,,,,,42,101,,,,8500,5,15000US421010085005,,,102682,0,487,378,109,109,81,0,28,378,0,0,16,0,0,0,18,92,38,214,1318
4.2101E+11,"Block Group 6, Census Tract 85, Philadelphia County, Pennsylvania","Block Group 6, Census Tract 85, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16715,,,,,42,101,,,,8500,6,15000US421010085006,,,77549,0,415,415,0,0,0,0,0,415,0,0,0,14,0,42,40,50,33,236,968
4.2101E+11,"Block Group 7, Census Tract 85, Philadelphia County, Pennsylvania","Block Group 7, Census Tract 85, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16716,,,,,42,101,,,,8500,7,15000US421010085007,,,131477,0,674,572,102,102,0,25,77,572,0,0,17,15,0,33,0,118,119,270,894
4.2101E+11,"Block Group 1, Census Tract 86.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 86.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16717,,,,,42,101,,,,8601,1,15000US421010086011,,,131395,0,656,635,21,21,0,0,21,635,0,0,10,0,8,8,0,60,96,453,1110
4.2101E+11,"Block Group 2, Census Tract 86.01, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 86.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16718,,,,,42,101,,,,8601,2,15000US421010086012,,,121087,0,898,745,153,153,63,0,90,745,0,0,33,0,18,39,50,17,61,527,1083
4.2101E+11,"Block Group 1, Census Tract 86.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 86.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16719,,,,,42,101,,,,8602,1,15000US421010086021,,,204438,0,563,472,91,91,19,40,32,472,0,0,9,10,11,100,16,34,83,209,984
4.2101E+11,"Block Group 2, Census Tract 86.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 86.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16720,,,,,42,101,,,,8602,2,15000US421010086022,,,84240,0,569,424,145,145,47,0,98,424,0,0,0,19,59,57,0,55,35,199,709
4.2101E+11,"Block Group 3, Census Tract 86.02, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 86.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16721,,,,,42,101,,,,8602,3,15000US421010086023,,,80464,0,209,171,38,38,19,0,19,171,0,0,0,0,0,0,13,0,13,145,857
4.2101E+11,"Block Group 1, Census Tract 87.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 87.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16722,,,,,42,101,,,,8701,1,15000US421010087011,,,75325,0,532,532,0,0,0,0,0,532,0,0,0,0,0,16,26,0,0,490,935
